id,name,nationality,role,basePrice,matches,runs,wickets,avg,sr,econ,age,battingStyle,bowlingStyle,imageUrl,set
50,Rahmanullah Gurbaz,Afghanistan,WK,5000000,80,1157,0,35.21,134.06,0,33,Right-hand bat,None,,Wicketkeepers 1
51,Devon Conway,New Zealand,WK,15000000,119,4860,5,25.98,130.47,9.01,20,Right-hand bat,None,,Wicketkeepers 1
52,Mohammed Siraj,India,BOWL,15000000,120,39,152,12.16,119.75,7.68,29,Right-hand bat,Slow left-arm orthodox,,Bowlers 1
53,Trent Boult,New Zealand,BOWL,15000000,124,217,90,11.86,108,7.98,31,Left-hand bat,None,,Bowlers 1
54,Kagiso Rabada,South Africa,BOWL,15000000,50,231,75,5.89,80.95,9.06,32,Right-hand bat,Right-arm medium,,Bowlers 1
55,Arshdeep Singh,India,BOWL,10000000,43,310,89,5.24,86.91,6.75,38,Left-hand bat,None,,Bowlers 1
56,Kuldeep Yadav,India,BOWL,15000000,183,133,61,11.61,93.12,6.86,31,Left-hand bat,Left-arm chinaman,,Bowlers 1
57,Yuzvendra Chahal,India,BOWL,15000000,137,433,97,13.99,115.17,7.79,36,Right-hand bat,Right-arm legbreak,,Bowlers 1
58,Anrich Nortje,South Africa,BOWL,15000000,81,131,164,14.82,93.18,7.93,30,Right-hand bat,Right-arm legbreak,,Bowlers 1
59,Jofra Archer,England,BOWL,15000000,119,91,135,11.26,84.3,8.84,31,Left-hand bat,Right-arm fast,,Bowlers 1
60,Josh Hazlewood,Australia,BOWL,15000000,191,240,171,5.86,89.17,7.85,36,Right-hand bat,Left-arm fast,,Bowlers 1
61,Ravi Bishnoi,India,BOWL,10000000,97,374,99,13.91,105.32,8.91,37,Left-hand bat,Slow left-arm orthodox,,Bowlers 1
62,Rahul Tripathi,India,BAT,5000000,150,3028,2,37.79,142.4,10.8,32,Left-hand bat,Right-arm medium,,Batters 2
63,Mayank Agarwal,India,BAT,5000000,86,1558,3,35.56,122.71,7.81,38,Right-hand bat,Right-arm offbreak,,Batters 2
64,Manish Pandey,India,BAT,5000000,48,2823,4,38.47,144.42,7.78,26,Right-hand bat,None,,Batters 2
65,Ajinkya Rahane,India,BAT,5000000,151,4166,3,24.38,129.02,9.35,32,Left-hand bat,None,,Batters 2
66,Harry Brook,England,BAT,15000000,132,2852,2,22.27,137.99,10.02,21,Left-hand bat,None,,Batters 2
67,Aiden Markram,South Africa,BAT,15000000,145,1801,2,22.47,157.86,10.38,36,Right-hand bat,None,,Batters 2
68,Rilee Rossouw,South Africa,BAT,10000000,61,713,4,42.96,149.05,10.96,23,Left-hand bat,None,,Batters 2
69,Daryl Mitchell,New Zealand,BAT,10000000,100,5025,2,22.81,142.66,8.82,22,Left-hand bat,None,,Batters 2
70,Glenn Phillips,New Zealand,BAT,10000000,37,956,1,47.54,134.09,8.2,26,Left-hand bat,None,,Batters 2
71,Will Jacks,England,BAT,10000000,120,2981,5,47.98,141.29,8.94,21,Left-hand bat,Right-arm medium,,Batters 2
72,Shardul Thakur,India,AR,10000000,189,2141,50,22.77,142.33,7.8,31,Left-hand bat,Right-arm medium,,All-Rounders 2
73,Deepak Chahar,India,AR,10000000,21,2180,63,31.14,149.09,8.19,25,Right-hand bat,Left-arm medium,,All-Rounders 2
74,Krunal Pandya,India,AR,5000000,35,1074,99,28.73,142.6,7.86,36,Left-hand bat,Right-arm offbreak,,All-Rounders 2
75,Ravichandran Ashwin,India,AR,5000000,55,2696,35,20.03,133.18,8.27,27,Right-hand bat,None,,All-Rounders 2
76,Wanindu Hasaranga,Sri Lanka,AR,15000000,114,2199,55,30.81,147.95,8.29,26,Left-hand bat,Right-arm offbreak,,All-Rounders 2
77,Jason Holder,West Indies,AR,10000000,176,1742,31,27.59,131.24,7.66,30,Left-hand bat,Right-arm offbreak,,All-Rounders 2
78,Marco Jansen,South Africa,AR,10000000,13,2556,40,20.1,142.38,7.91,32,Left-hand bat,None,,All-Rounders 2
79,Romario Shepherd,West Indies,AR,5000000,94,1541,52,28.8,140.3,9.14,33,Left-hand bat,Right-arm legbreak,,All-Rounders 2
80,Daniel Sams,Australia,AR,5000000,67,1820,97,25.94,143.37,7.51,21,Right-hand bat,Right-arm offbreak,,All-Rounders 2
81,Azmatullah Omarzai,Afghanistan,AR,5000000,112,1004,95,23.35,149.73,8.63,36,Right-hand bat,Slow left-arm orthodox,,All-Rounders 2
82,Bhuvneshwar Kumar,India,BOWL,5000000,167,315,89,5.95,97.15,8.54,35,Left-hand bat,Right-arm medium,,Bowlers 2
83,T Natarajan,India,BOWL,5000000,155,168,145,13.77,115.95,9.31,36,Right-hand bat,Right-arm medium,,Bowlers 2
84,Mohit Sharma,India,BOWL,5000000,58,215,161,13.93,82.66,7.35,22,Left-hand bat,Left-arm chinaman,,Bowlers 2
85,Ishant Sharma,India,BOWL,5000000,54,260,159,10.8,116.4,6.69,35,Right-hand bat,Slow left-arm orthodox,,Bowlers 2
86,Umesh Yadav,India,BOWL,5000000,146,448,176,11.49,111.17,8.7,34,Left-hand bat,None,,Bowlers 2
87,Lockie Ferguson,New Zealand,BOWL,10000000,15,210,170,14.16,106.18,8.95,31,Left-hand bat,Right-arm fast,,Bowlers 2
88,Alzarri Joseph,West Indies,BOWL,10000000,147,388,51,9.39,108.32,8.66,33,Left-hand bat,Left-arm fast,,Bowlers 2
89,Mustafizur Rahman,Bangladesh,BOWL,2000000,86,150,96,13.68,89.46,8.06,23,Right-hand bat,Left-arm chinaman,,Bowlers 2
90,Naveen-ul-Haq,Afghanistan,BOWL,5000000,141,487,188,13.87,91.93,8.3,32,Right-hand bat,Right-arm fast,,Bowlers 2
91,Maheesh Theekshana,Sri Lanka,BOWL,5000000,11,35,191,12.21,109.32,6.81,30,Right-hand bat,Right-arm fast,,Bowlers 2
92,Sameer Rizvi,India,BAT,2000000,15,1539,1,42.7,147.06,8.29,20,Right-hand bat,None,,Uncapped Batters
93,Abhinav Manohar,India,BAT,2000000,195,3404,1,35.68,154.15,9.73,30,Right-hand bat,None,,Uncapped Batters
94,Nehal Wadhera,India,BAT,2000000,175,4674,4,31.09,125.77,8.58,37,Left-hand bat,None,,Uncapped Batters
95,Angkrish Raghuvanshi,India,BAT,2000000,75,4013,0,25.28,158.54,0,19,Left-hand bat,Right-arm medium,,Uncapped Batters
96,Ashutosh Sharma,India,BAT,2000000,171,2285,3,32.92,152.26,9.63,33,Left-hand bat,None,,Uncapped Batters
97,Shashank Singh,India,BAT,2000000,91,5688,5,49.67,135.28,8.19,33,Left-hand bat,None,,Uncapped Batters
98,Harshit Rana,India,BOWL,2000000,140,261,187,6.44,93.27,7.51,38,Right-hand bat,Slow left-arm orthodox,,Uncapped Bowlers
99,Mayank Yadav,India,BOWL,2000000,105,430,93,7.51,83.97,7.42,38,Left-hand bat,Right-arm fast,,Uncapped Bowlers
100,Vaibhav Arora,India,BOWL,2000000,198,126,55,6.44,93.01,9.05,34,Left-hand bat,None,,Uncapped Bowlers
101,Yash Dayal,India,BOWL,2000000,157,388,158,6.99,113.07,9.38,35,Left-hand bat,Slow left-arm orthodox,,Uncapped Bowlers
102,Mohsin Khan,India,BOWL,2000000,100,239,78,10.78,106.76,6.93,21,Left-hand bat,Left-arm medium,,Uncapped Bowlers
103,Akash Madhwal,India,BOWL,2000000,197,114,73,12.16,96.86,7.26,26,Left-hand bat,Right-arm medium,,Uncapped Bowlers
104,Nitish Kumar Reddy,India,AR,2000000,31,1162,36,34.32,142.25,7.84,33,Right-hand bat,Left-arm chinaman,,Uncapped AR
105,Shahrukh Khan,India,AR,2000000,192,1142,41,31.74,134.44,9.44,37,Right-hand bat,Left-arm fast,,Uncapped AR
106,Rahul Tewatia,India,AR,2000000,192,1671,39,22.32,147.03,9.33,29,Left-hand bat,Left-arm chinaman,,Uncapped AR
107,Ramandeep Singh,India,AR,2000000,166,1884,52,20.94,132.28,8.32,31,Left-hand bat,None,,Uncapped AR
108,Dhruv Jurel,India,WK,2000000,176,1075,0,38.42,133.75,0,35,Left-hand bat,None,,Uncapped WK
109,Abishek Porel,India,WK,2000000,26,5082,0,23.7,158.51,0,28,Right-hand bat,None,,Uncapped WK
110,Anuj Rawat,India,WK,2000000,28,2764,3,38.23,143.88,9.59,26,Left-hand bat,None,,Uncapped WK
111,Prabhsimran Singh,India,WK,2000000,159,3868,5,45.72,124.39,10.27,32,Left-hand bat,None,,Uncapped WK
112,Prithvi Shaw,India,BAT,5000000,155,804,0,31.36,133.21,0,35,Left-hand bat,None,,Batters 3
113,Devdutt Padikkal,India,BAT,5000000,10,5481,4,25.35,122.94,7.59,30,Right-hand bat,None,,Batters 3
114,Venkatesh Iyer,India,BAT,5000000,102,5551,4,35.9,136.83,7.19,33,Left-hand bat,Left-arm medium,,Batters 3
115,Dewald Brevis,South Africa,BAT,2000000,167,2572,3,25.65,123.39,9.06,27,Right-hand bat,None,,Batters 3
116,Tristan Stubbs,South Africa,BAT,5000000,72,4256,2,20.19,152.96,8.42,26,Right-hand bat,Right-arm medium,,Batters 3
117,Tim David,Australia,BAT,10000000,106,5269,2,35.42,132.77,9.21,21,Right-hand bat,None,,Batters 3
118,Abhishek Sharma,India,BAT,5000000,45,1394,2,39.9,126.4,10.19,25,Right-hand bat,Right-arm offbreak,,Batters 3
119,Krunal Pandya,India,AR,5000000,174,1007,50,21.41,149.49,8.6,20,Left-hand bat,Right-arm medium,,All-Rounders 3
120,Deepak Hooda,India,AR,5000000,187,1276,42,29.21,149.82,8.88,32,Left-hand bat,None,,All-Rounders 3
121,Vijay Shankar,India,AR,5000000,181,930,100,22.8,139.46,9.4,31,Left-hand bat,Slow left-arm orthodox,,All-Rounders 3
122,Riyan Parag,India,AR,5000000,141,2606,59,25.99,138.9,8.44,33,Right-hand bat,Right-arm medium,,All-Rounders 3
123,Shahbaz Ahmed,India,AR,5000000,77,1144,61,27.05,138.72,8.77,30,Right-hand bat,Slow left-arm orthodox,,All-Rounders 3
124,Mitchell Santner,New Zealand,AR,5000000,62,695,74,26.19,137.45,9.21,21,Left-hand bat,None,,All-Rounders 3
125,Mohammad Nabi,Afghanistan,AR,5000000,55,762,69,29.59,133.59,7.63,22,Right-hand bat,None,,All-Rounders 3
126,Harshal Patel,India,BOWL,5000000,75,233,122,6.28,80.85,7.08,19,Left-hand bat,Right-arm legbreak,,Bowlers 3
127,Avesh Khan,India,BOWL,5000000,146,375,150,9.49,105.9,8.18,22,Left-hand bat,None,,Bowlers 3
128,Khaleel Ahmed,India,BOWL,5000000,198,485,53,5.65,118.14,9.45,34,Right-hand bat,Right-arm fast,,Bowlers 3
129,Chetan Sakariya,India,BOWL,5000000,200,152,128,6.55,96.84,6.55,22,Right-hand bat,Left-arm medium,,Bowlers 3
130,Sandeep Sharma,India,BOWL,5000000,52,253,189,13.43,96.06,8.45,38,Right-hand bat,None,,Bowlers 3
131,Adam Zampa,Australia,BOWL,10000000,119,79,93,7.31,108.57,7.89,28,Left-hand bat,Right-arm legbreak,,Bowlers 3
132,Lungi Ngidi,South Africa,BOWL,5000000,42,172,149,8.65,80.14,6.58,25,Left-hand bat,Slow left-arm orthodox,,Bowlers 3
133,Jason Behrendorff,Australia,BOWL,5000000,71,117,189,10.53,106.64,8.21,34,Left-hand bat,Right-arm legbreak,,Bowlers 3
134,Indian BAT 134,India,BAT,5000000,39,5120,3,20.81,122.51,10.46,36,Left-hand bat,Right-arm offbreak,,Batters 3
135,Indian BOWL 135,India,BOWL,2000000,142,274,83,13.94,118.84,8.78,30,Left-hand bat,Right-arm legbreak,,Uncapped Bowlers
136,Indian BOWL 136,India,BOWL,5000000,50,323,187,14.14,94.58,9.28,20,Left-hand bat,Right-arm medium,,Bowlers 3
137,Overseas BAT 137,Australia,BAT,2000000,133,1268,0,35.78,136.01,0,26,Left-hand bat,Left-arm chinaman,,Uncapped Batters
138,Indian BAT 138,India,BAT,2000000,136,4712,0,36.96,142.85,0,32,Right-hand bat,None,,Uncapped Batters
139,Overseas BAT 139,Australia,BAT,2000000,160,1899,4,49.79,122.27,9.89,21,Left-hand bat,None,,Uncapped Batters
140,Overseas BOWL 140,Australia,BOWL,2000000,23,378,65,10.73,117.53,8.62,24,Left-hand bat,Right-arm offbreak,,Uncapped Bowlers
141,Indian AR 141,India,AR,5000000,194,872,30,22.09,134.13,8.65,19,Right-hand bat,None,,All-Rounders 3
142,Indian BOWL 142,India,BOWL,5000000,171,375,134,10.64,108.62,7.89,27,Left-hand bat,Right-arm legbreak,,Bowlers 3
143,Overseas BOWL 143,Australia,BOWL,2000000,106,265,194,13.77,83.26,7.79,25,Left-hand bat,Left-arm chinaman,,Uncapped Bowlers
144,Overseas AR 144,Australia,AR,5000000,29,2907,61,28.29,139.39,7.96,20,Right-hand bat,Right-arm legbreak,,All-Rounders 3
145,Indian BOWL 145,India,BOWL,2000000,33,73,120,5.3,95.22,8.85,24,Left-hand bat,None,,Uncapped Bowlers
146,Overseas BOWL 146,Australia,BOWL,2000000,114,79,88,10.58,89.38,7.02,35,Right-hand bat,Right-arm offbreak,,Uncapped Bowlers
147,Overseas BAT 147,Australia,BAT,2000000,162,1094,5,47.47,157.89,8.26,23,Left-hand bat,None,,Uncapped Batters
148,Overseas BAT 148,Australia,BAT,2000000,171,5876,2,43.47,157.33,8.44,37,Right-hand bat,None,,Uncapped Batters
149,Indian BAT 149,India,BAT,5000000,193,3225,0,45.4,135.84,0,31,Left-hand bat,None,,Batters 3
150,Indian BOWL 150,India,BOWL,2000000,137,37,58,14.55,116.85,8.98,37,Left-hand bat,None,,Uncapped Bowlers
151,Indian BAT 151,India,BAT,2000000,58,3346,4,30.67,155.88,8.48,31,Left-hand bat,None,,Uncapped Batters
152,Overseas AR 152,Australia,AR,5000000,182,2706,71,25.53,148.94,8.41,36,Right-hand bat,Right-arm offbreak,,All-Rounders 3
153,Indian BOWL 153,India,BOWL,5000000,27,160,149,12.25,112.8,8.7,31,Right-hand bat,Slow left-arm orthodox,,Bowlers 3
154,Indian BAT 154,India,BAT,2000000,138,4449,2,31.66,142.65,10.63,19,Left-hand bat,None,,Uncapped Batters
155,Indian BAT 155,India,BAT,5000000,182,4512,3,24.62,144.77,8.29,19,Right-hand bat,None,,Batters 3
156,Indian BAT 156,India,BAT,2000000,11,3996,4,33.37,127.09,7.86,29,Left-hand bat,None,,Uncapped Batters
157,Indian AR 157,India,AR,5000000,83,2625,48,23.55,136.77,7.93,36,Right-hand bat,Right-arm fast,,All-Rounders 3
158,Indian BOWL 158,India,BOWL,5000000,40,393,68,14.31,118.8,7.25,24,Left-hand bat,Left-arm chinaman,,Bowlers 3
159,Overseas AR 159,Australia,AR,5000000,83,2389,96,20.3,139.35,7.52,29,Right-hand bat,Slow left-arm orthodox,,All-Rounders 3
160,Indian BOWL 160,India,BOWL,2000000,42,419,144,7.46,108.08,7.72,27,Right-hand bat,Left-arm chinaman,,Uncapped Bowlers
161,Indian BOWL 161,India,BOWL,2000000,119,460,104,13.27,87.33,9.42,19,Right-hand bat,Right-arm legbreak,,Uncapped Bowlers
162,Indian BOWL 162,India,BOWL,2000000,192,340,85,14.57,83.25,7.33,35,Right-hand bat,Left-arm fast,,Uncapped Bowlers
163,Overseas BOWL 163,Australia,BOWL,5000000,144,152,118,5.15,102.29,8.56,20,Left-hand bat,Right-arm fast,,Bowlers 3
164,Overseas BAT 164,Australia,BAT,5000000,69,4759,3,30.64,127.95,9.38,20,Right-hand bat,None,,Batters 3
165,Indian BAT 165,India,BAT,5000000,58,5460,0,38.26,139.29,0,32,Right-hand bat,Left-arm medium,,Batters 3
166,Overseas AR 166,Australia,AR,5000000,32,1829,38,33.2,130.98,9.26,29,Left-hand bat,Right-arm fast,,All-Rounders 3
167,Overseas BAT 167,Australia,BAT,5000000,121,5803,4,36.19,134.63,8.92,33,Left-hand bat,None,,Batters 3
168,Indian BAT 168,India,BAT,2000000,11,3352,3,32.95,134.59,8.32,22,Right-hand bat,Right-arm medium,,Uncapped Batters
169,Indian BOWL 169,India,BOWL,5000000,176,31,62,13.84,105.31,6.63,22,Left-hand bat,Right-arm offbreak,,Bowlers 3
170,Indian BOWL 170,India,BOWL,5000000,166,474,83,14.69,90.19,6.76,27,Left-hand bat,Left-arm medium,,Bowlers 3
171,Overseas BAT 171,Australia,BAT,5000000,92,2092,4,29.79,126.14,10.09,29,Right-hand bat,None,,Batters 3
172,Indian BAT 172,India,BAT,5000000,200,777,4,41.91,140.27,10.72,30,Left-hand bat,None,,Batters 3
173,Indian BOWL 173,India,BOWL,2000000,192,442,196,5.63,89.93,8.36,28,Right-hand bat,Right-arm legbreak,,Uncapped Bowlers
174,Overseas BOWL 174,Australia,BOWL,2000000,29,205,101,6.15,80.26,7.76,25,Left-hand bat,None,,Uncapped Bowlers
175,Overseas BAT 175,Australia,BAT,5000000,14,1993,5,32.76,128.29,8.13,22,Left-hand bat,None,,Batters 3
176,Overseas BOWL 176,Australia,BOWL,5000000,78,488,140,8.91,98.3,7.71,21,Right-hand bat,Right-arm fast,,Bowlers 3
177,Indian BAT 177,India,BAT,5000000,98,2895,3,22.46,150,10.91,23,Right-hand bat,None,,Batters 3
178,Indian BAT 178,India,BAT,5000000,133,1096,2,44.48,157.17,10.58,27,Right-hand bat,None,,Batters 3
179,Overseas AR 179,Australia,AR,5000000,124,2026,43,24.21,145.75,9.17,22,Right-hand bat,Right-arm medium,,All-Rounders 3
180,Indian BAT 180,India,BAT,2000000,127,4325,3,48.21,128.74,10.08,37,Left-hand bat,None,,Uncapped Batters
181,Overseas BOWL 181,Australia,BOWL,5000000,11,264,133,13.66,118.95,9.1,37,Right-hand bat,Right-arm legbreak,,Bowlers 3
182,Overseas AR 182,Australia,AR,5000000,187,853,61,22.53,132.75,7.87,38,Left-hand bat,Right-arm fast,,All-Rounders 3
183,Overseas AR 183,Australia,AR,5000000,119,2757,72,27.25,148.34,8,21,Right-hand bat,Left-arm fast,,All-Rounders 3
184,Overseas BOWL 184,Australia,BOWL,2000000,18,391,126,12.37,90.26,7.57,35,Right-hand bat,None,,Uncapped Bowlers
185,Overseas BOWL 185,Australia,BOWL,5000000,99,217,133,9.56,82.52,9.15,35,Left-hand bat,Slow left-arm orthodox,,Bowlers 3
186,Indian BOWL 186,India,BOWL,2000000,78,479,60,5.08,90.82,8.97,22,Right-hand bat,Right-arm offbreak,,Uncapped Bowlers
187,Overseas BOWL 187,Australia,BOWL,2000000,134,349,191,7.58,107.79,9.19,36,Right-hand bat,None,,Uncapped Bowlers
188,Overseas BOWL 188,Australia,BOWL,5000000,69,83,142,6.07,107.75,7.51,23,Right-hand bat,Left-arm fast,,Bowlers 3
189,Overseas BOWL 189,Australia,BOWL,2000000,94,12,195,6.08,82.32,6.61,25,Right-hand bat,None,,Uncapped Bowlers
190,Indian BOWL 190,India,BOWL,5000000,98,313,188,13.62,84.53,7.07,30,Right-hand bat,None,,Bowlers 3
191,Indian BAT 191,India,BAT,5000000,81,4341,1,33.55,122.89,8.45,36,Right-hand bat,None,,Batters 3
192,Overseas AR 192,Australia,AR,5000000,149,1144,49,22.36,148.72,8.6,32,Left-hand bat,Right-arm legbreak,,All-Rounders 3
193,Indian BOWL 193,India,BOWL,5000000,13,104,200,10.37,114.41,7.84,19,Right-hand bat,Slow left-arm orthodox,,Bowlers 3
194,Indian BAT 194,India,BAT,2000000,131,3715,2,48.31,147.46,7.02,32,Left-hand bat,None,,Uncapped Batters
195,Indian BOWL 195,India,BOWL,2000000,95,220,198,9.52,82.1,7.12,36,Right-hand bat,Left-arm medium,,Uncapped Bowlers
196,Indian BOWL 196,India,BOWL,2000000,61,245,156,8.65,109.06,7.89,35,Right-hand bat,Right-arm fast,,Uncapped Bowlers
197,Indian AR 197,India,AR,5000000,60,997,100,22.1,144.5,9.07,20,Left-hand bat,Right-arm medium,,All-Rounders 3
198,Indian BOWL 198,India,BOWL,2000000,69,44,195,14.12,92.18,9.43,28,Right-hand bat,Left-arm chinaman,,Uncapped Bowlers
199,Overseas BOWL 199,Australia,BOWL,2000000,67,133,200,5.87,97.91,6.94,20,Left-hand bat,Left-arm fast,,Uncapped Bowlers
200,Indian BAT 200,India,BAT,5000000,28,1816,1,31.88,150.37,7.87,24,Left-hand bat,None,,Batters 3
201,Indian BAT 201,India,BAT,5000000,48,5484,3,48.95,128.35,10.42,20,Left-hand bat,None,,Batters 3
202,Overseas AR 202,Australia,AR,5000000,133,2743,75,30.11,136.44,9.13,37,Right-hand bat,Right-arm fast,,All-Rounders 3
203,Indian BAT 203,India,BAT,5000000,124,5630,3,26.59,156.33,7.96,31,Right-hand bat,None,,Batters 3
204,Overseas BOWL 204,Australia,BOWL,5000000,44,419,184,8.24,95.98,6.94,24,Left-hand bat,Left-arm medium,,Bowlers 3
205,Indian AR 205,India,AR,5000000,38,776,37,24.92,137.18,8.56,34,Right-hand bat,Right-arm fast,,All-Rounders 3
206,Overseas BAT 206,Australia,BAT,5000000,102,1058,5,23.71,132.67,8.86,28,Left-hand bat,None,,Batters 3
207,Overseas BAT 207,Australia,BAT,5000000,63,4821,3,40.09,153.68,8.44,36,Right-hand bat,None,,Batters 3
208,Indian BAT 208,India,BAT,2000000,139,976,0,49.95,126.07,0,25,Left-hand bat,Slow left-arm orthodox,,Uncapped Batters
209,Indian AR 209,India,AR,5000000,182,747,90,22.53,137.81,8.95,33,Right-hand bat,Left-arm fast,,All-Rounders 3
